Title,Amount,Category
lunch expense,973.72,Food
store expense,851.82,Shopping
gas expense,656.75,Transport
petrol expense,92.2,Transport
fuel expense,360.74,Transport
subway expense,683.51,Food
doctor expense,495.22,Healthcare
train expense,601.36,Transport
postpaid expense,321.89,Utilities
uber expense,113.97,Transport
train expense,611.12,Transport
pharmacy expense,926.22,Healthcare
mcdonalds expense,261.82,Food
theatre expense,63.49,Entertainment
metro expense,268.45,Transport
kfc expense,561.99,Food
broadband expense,728.08,Utilities
clinic expense,857.39,Healthcare
amazon expense,184.29,Shopping
clothes expense,535.62,Shopping
broadband expense,814.94,Utilities
prepaid expense,106.84,Utilities
bus expense,850.49,Transport
train expense,198.55,Transport
medicine expense,469.53,Healthcare
jeans expense,122.86,Shopping
theatre expense,105.01,Entertainment
zomato gold expense,499.71,Entertainment
train expense,729.53,Transport
mall expense,991.29,Shopping
pharmacy expense,649.4,Healthcare
health expense,767.65,Healthcare
clinic expense,813.64,Healthcare
ola expense,75.44,Transport
internet expense,600.04,Utilities
postpaid expense,524.41,Utilities
groceries expense,315.85,Food
mobile recharge expense,501.95,Utilities
uber expense,981.08,Transport
spotify expense,441.58,Entertainment
pharmacy expense,690.39,Healthcare
coffee expense,952.53,Food
wifi expense,391.78,Utilities
pizza expense,859.35,Food
coffee expense,374.39,Food
pharmacy expense,322.4,Healthcare
cab expense,479.91,Transport
taxi expense,217.63,Transport
netflix expense,553.04,Entertainment
kfc expense,103.25,Food
gas expense,51.53,Transport
clinic expense,155.35,Healthcare
music expense,411.1,Entertainment
ola expense,65.01,Transport
ola expense,507.4,Transport
cab expense,908,Transport
gas bill expense,56.02,Utilities
pubg expense,377.53,Entertainment
shoes expense,227.17,Shopping
hospital expense,210.69,Healthcare
syrup expense,421.24,Healthcare
medicine expense,284.55,Healthcare
prepaid expense,341.95,Utilities
petrol expense,82.52,Transport
gas bill expense,405.95,Utilities
bus expense,219.42,Transport
pubg expense,881.26,Entertainment
medicine expense,955.85,Healthcare
spotify expense,767.67,Entertainment
amazon expense,531.42,Shopping
shoes expense,325.4,Shopping
zomato gold expense,366.76,Entertainment
shopping expense,644.82,Shopping
ola expense,974.33,Transport
ola expense,571.53,Transport
mobile recharge expense,526.72,Utilities
store expense,859.6,Shopping
store expense,60.21,Shopping
shopping expense,67.86,Shopping
water expense,955.79,Utilities
checkup expense,121.93,Healthcare
jewelry expense,690.19,Shopping
mcdonalds expense,526.74,Food
clothes expense,396.33,Shopping
metro expense,940.27,Transport
doctor expense,476.83,Healthcare
subway expense,497.33,Food
mcdonalds expense,614.93,Food
shoes expense,419.58,Shopping
jewelry expense,326.62,Shopping
groceries expense,200.41,Food
coffee expense,863.24,Food
lunch expense,627.01,Food
zomato gold expense,601.6,Entertainment
fuel expense,606.94,Transport
cinema expense,815.79,Entertainment
pharmacy expense,523.04,Healthcare
syrup expense,676.18,Healthcare
spotify expense,60.76,Entertainment
restaurant expense,711.74,Food
subway expense,101.34,Food
appointment expense,68.31,Healthcare
lunch expense,802.2,Food
broadband expense,400.7,Utilities
game expense,220.65,Entertainment
zomato gold expense,543.15,Entertainment
appointment expense,740.91,Healthcare
kfc expense,472.15,Food
zomato gold expense,67.41,Entertainment
checkup expense,359.9,Healthcare
gas bill expense,881.04,Utilities
bus expense,74.61,Transport
netflix expense,530.55,Entertainment
restaurant expense,891.1,Food
prepaid expense,604.03,Utilities
mall expense,73.81,Shopping
internet expense,347.4,Utilities
ola expense,445.34,Transport
electricity expense,365.93,Utilities
snack expense,758.42,Food
medicine expense,446.15,Healthcare
theatre expense,967.12,Entertainment
ola expense,757.67,Transport
store expense,327.86,Shopping
restaurant expense,859.64,Food
flipkart expense,772.49,Shopping
shopping expense,746.13,Shopping
taxi expense,275.22,Transport
spotify expense,818.52,Entertainment
zomato gold expense,257.17,Entertainment
mall expense,724.26,Shopping
doctor expense,118.58,Healthcare
syrup expense,220.63,Healthcare
cinema expense,50.26,Entertainment
fuel expense,918.73,Transport
shopping expense,814.86,Shopping
zomato gold expense,947.42,Entertainment
postpaid expense,913.25,Utilities
game expense,303.38,Entertainment
amazon expense,167.84,Shopping
electricity expense,795.49,Utilities
gas bill expense,365.8,Utilities
hospital expense,256.53,Healthcare
broadband expense,461.57,Utilities
broadband expense,116.48,Utilities
restaurant expense,448.1,Food
electricity expense,280.69,Utilities
music expense,303.4,Entertainment
taxi expense,911.52,Transport
taxi expense,350.76,Transport
doctor expense,565.44,Healthcare
theatre expense,995.31,Entertainment
tshirt expense,374.12,Shopping
cinema expense,818.56,Entertainment
ola expense,854.48,Transport
doctor expense,982.16,Healthcare
wifi expense,552.48,Utilities
spotify expense,599.96,Entertainment
metro expense,162.92,Transport
gas bill expense,561.36,Utilities
syrup expense,949.64,Healthcare
doctor expense,298.43,Healthcare
medicine expense,75.71,Healthcare
internet expense,264.28,Utilities
pizza expense,591.88,Food
health expense,431,Healthcare
theatre expense,429.03,Entertainment
shopping expense,168.43,Shopping
subway expense,538.67,Food
shopping expense,580.12,Shopping
subway expense,573.75,Food
groceries expense,509.95,Food
pharmacy expense,725.87,Healthcare
subway expense,543.64,Food
movie expense,189.42,Entertainment
pizza expense,741.12,Food
music expense,287.66,Entertainment
netflix expense,477.82,Entertainment
pizza expense,960.58,Food
clinic expense,887.21,Healthcare
amazon expense,911.19,Shopping
appointment expense,952.16,Healthcare
mall expense,485.74,Shopping
gas expense,585.44,Transport
jeans expense,508.28,Shopping
uber expense,779.31,Transport
water expense,859.56,Utilities
fuel expense,797.22,Transport
jewelry expense,416.9,Shopping
spotify expense,678.1,Entertainment
movie expense,254.99,Entertainment
wifi expense,240.41,Utilities
gas bill expense,993.77,Utilities
theatre expense,488.79,Entertainment
pubg expense,343.4,Entertainment
cinema expense,913.98,Entertainment
taxi expense,513.31,Transport
checkup expense,580.4,Healthcare
water expense,236.71,Utilities
mcdonalds expense,662.09,Food
snack expense,123.03,Food
gas expense,424.54,Transport
subway expense,792.9,Food
groceries expense,581.43,Food
flipkart expense,541.88,Shopping
movie expense,572.59,Entertainment
clothes expense,95.96,Shopping
postpaid expense,153.94,Utilities
petrol expense,461.9,Transport
groceries expense,218.14,Food
medicine expense,83.37,Healthcare
uber expense,830.58,Transport
broadband expense,150.08,Utilities
shopping expense,98.6,Shopping
diagnostic expense,862.08,Healthcare
amazon expense,901.17,Shopping
taxi expense,770.22,Transport
store expense,724.8,Shopping
ola expense,285.04,Transport
theatre expense,187.37,Entertainment
clinic expense,558.87,Healthcare
train expense,318.93,Transport
dinner expense,346,Food
game expense,807.97,Entertainment
appointment expense,717.22,Healthcare
jewelry expense,955.38,Shopping
clinic expense,110.48,Healthcare
spotify expense,652.55,Entertainment
ola expense,491.88,Transport
health expense,823.79,Healthcare
zomato gold expense,244,Entertainment
water expense,918.77,Utilities
postpaid expense,882.03,Utilities
groceries expense,336.21,Food
coffee expense,883.81,Food
game expense,582.32,Entertainment
mobile recharge expense,566.23,Utilities
concert expense,590.9,Entertainment
taxi expense,697.86,Transport
cinema expense,548.23,Entertainment
lunch expense,744.51,Food
mcdonalds expense,919.39,Food
health expense,946.2,Healthcare
music expense,847.65,Entertainment
appointment expense,684.71,Healthcare
health expense,453.6,Healthcare
netflix expense,448.2,Entertainment
wifi expense,940.64,Utilities
concert expense,642.76,Entertainment
gas expense,313.78,Transport
netflix expense,872.84,Entertainment
wifi expense,465.77,Utilities
water expense,321.01,Utilities
lunch expense,970.16,Food
diagnostic expense,91.82,Healthcare
electricity expense,488.9,Utilities
gas bill expense,841.03,Utilities
gas bill expense,499.15,Utilities
kfc expense,871.45,Food
pharmacy expense,371.34,Healthcare
cinema expense,227.08,Entertainment
cinema expense,498.65,Entertainment
cinema expense,349.23,Entertainment
electricity expense,608.7,Utilities
gas bill expense,539.1,Utilities
broadband expense,495.95,Utilities
pharmacy expense,807.5,Healthcare
lunch expense,403.73,Food
theatre expense,399.23,Entertainment
mall expense,750.76,Shopping
diagnostic expense,371.43,Healthcare
cinema expense,373.22,Entertainment
doctor expense,746.1,Healthcare
internet expense,459.74,Utilities
gas bill expense,441.67,Utilities
water expense,882.63,Utilities
metro expense,873.51,Transport
petrol expense,293.97,Transport
gas bill expense,930.12,Utilities
doctor expense,71.78,Healthcare
mall expense,540.16,Shopping
game expense,765.94,Entertainment
gas bill expense,798.41,Utilities
groceries expense,567.8,Food
broadband expense,435.07,Utilities
spotify expense,882.52,Entertainment
netflix expense,778.45,Entertainment
kfc expense,908.08,Food
shoes expense,730.58,Shopping
clinic expense,83.25,Healthcare
ola expense,396.2,Transport
spotify expense,457.78,Entertainment
tshirt expense,881.53,Shopping
restaurant expense,228.62,Food
store expense,365.24,Shopping
groceries expense,485.78,Food
clinic expense,192.92,Healthcare
electricity expense,593.25,Utilities
broadband expense,270.44,Utilities
fuel expense,832.42,Transport
tshirt expense,831.3,Shopping
gas expense,105.29,Transport
health expense,785.98,Healthcare
mobile recharge expense,812.16,Utilities
amazon expense,586.21,Shopping
mcdonalds expense,452.89,Food
mobile recharge expense,406.28,Utilities
water expense,208.96,Utilities
shopping expense,830.6,Shopping
checkup expense,713.62,Healthcare
music expense,871.92,Entertainment
shoes expense,508.69,Shopping
pizza expense,944.1,Food
wifi expense,665.93,Utilities
game expense,512.3,Entertainment
pubg expense,634.97,Entertainment
pharmacy expense,92.53,Healthcare
tshirt expense,196.25,Shopping
jewelry expense,857.53,Shopping
snack expense,323.25,Food
diagnostic expense,939.58,Healthcare
store expense,133.49,Shopping
diagnostic expense,67,Healthcare
wifi expense,297.09,Utilities
mcdonalds expense,203.23,Food
groceries expense,319.38,Food
metro expense,274.16,Transport
store expense,975.7,Shopping
doctor expense,426.78,Healthcare
shopping expense,148.5,Shopping
snack expense,949.66,Food
fuel expense,860.12,Transport
clothes expense,400.5,Shopping
restaurant expense,770.59,Food
mobile recharge expense,801.45,Utilities
wifi expense,533.96,Utilities
uber expense,90.24,Transport
theatre expense,425.14,Entertainment
petrol expense,262,Transport
pubg expense,215.92,Entertainment
restaurant expense,955.43,Food
medicine expense,665.33,Healthcare
zomato gold expense,97.27,Entertainment
shoes expense,532.48,Shopping
shopping expense,540.02,Shopping
jewelry expense,778.02,Shopping
shopping expense,112.77,Shopping
syrup expense,225.6,Healthcare
jeans expense,97.6,Shopping
train expense,593.79,Transport
kfc expense,550.86,Food
netflix expense,983.02,Entertainment
shopping expense,67.64,Shopping
electricity expense,378.58,Utilities
prepaid expense,365.45,Utilities
jeans expense,918.74,Shopping
mobile recharge expense,492.33,Utilities
wifi expense,664.65,Utilities
jeans expense,170.6,Shopping
shoes expense,67.6,Shopping
ola expense,474.16,Transport
prepaid expense,58.06,Utilities
diagnostic expense,674.54,Healthcare
hospital expense,750.01,Healthcare
gas expense,547.09,Transport
theatre expense,448.47,Entertainment
tshirt expense,216.31,Shopping
gas expense,123.76,Transport
wifi expense,901.33,Utilities
pubg expense,620.42,Entertainment
water expense,177.02,Utilities
taxi expense,161.44,Transport
mcdonalds expense,727.62,Food
clinic expense,854.76,Healthcare
clothes expense,287.07,Shopping
snack expense,475.29,Food
doctor expense,721.73,Healthcare
cinema expense,592.1,Entertainment
pizza expense,468.64,Food
netflix expense,407.67,Entertainment
broadband expense,556.98,Utilities
coffee expense,668.82,Food
electricity expense,289.72,Utilities
mobile recharge expense,428.02,Utilities
groceries expense,77.62,Food
game expense,525.05,Entertainment
cinema expense,67.55,Entertainment
pizza expense,392.36,Food
cinema expense,511.67,Entertainment
groceries expense,128.82,Food
mobile recharge expense,836.66,Utilities
mall expense,80.32,Shopping
spotify expense,628.43,Entertainment
cab expense,416.21,Transport
subway expense,653.6,Food
wifi expense,481.51,Utilities
appointment expense,369.7,Healthcare
groceries expense,797.59,Food
pharmacy expense,991.15,Healthcare
concert expense,919.91,Entertainment
uber expense,533.32,Transport
hospital expense,561.01,Healthcare
water expense,808.87,Utilities
electricity expense,355.14,Utilities
bus expense,485.93,Transport
syrup expense,161.47,Healthcare
ola expense,868.45,Transport
pubg expense,361.28,Entertainment
pubg expense,248.27,Entertainment
amazon expense,769.6,Shopping
jeans expense,273.26,Shopping
clinic expense,600.94,Healthcare
jeans expense,760.12,Shopping
syrup expense,100.13,Healthcare
cinema expense,925.72,Entertainment
water expense,907.81,Utilities
ola expense,615.99,Transport
metro expense,186.5,Transport
spotify expense,254.56,Entertainment
wifi expense,422.17,Utilities
spotify expense,383.6,Entertainment
lunch expense,524.52,Food
theatre expense,175.44,Entertainment
snack expense,838.96,Food
health expense,883.77,Healthcare
bus expense,322.67,Transport
medicine expense,565.24,Healthcare
store expense,972.04,Shopping
ola expense,560.12,Transport
pizza expense,429.4,Food
uber expense,119.4,Transport
clothes expense,835.84,Shopping
lunch expense,584.94,Food
lunch expense,126.47,Food
mcdonalds expense,359.34,Food
jeans expense,542.25,Shopping
taxi expense,785.65,Transport
appointment expense,801.03,Healthcare
lunch expense,459.91,Food
ola expense,309,Transport
medicine expense,858.15,Healthcare
flipkart expense,977.25,Shopping
spotify expense,769.44,Entertainment
pizza expense,974.68,Food
train expense,705.2,Transport
dinner expense,153.88,Food
amazon expense,544.68,Shopping
diagnostic expense,439.82,Healthcare
appointment expense,362.02,Healthcare
restaurant expense,570.72,Food
restaurant expense,992.57,Food
hospital expense,491.04,Healthcare
clinic expense,665.02,Healthcare
clothes expense,658.68,Shopping
shoes expense,701.94,Shopping
taxi expense,499.6,Transport
gas expense,631.42,Transport
flipkart expense,313.33,Shopping
ola expense,565.11,Transport
netflix expense,692,Entertainment
uber expense,59.55,Transport
pizza expense,691.45,Food
clinic expense,998.09,Healthcare
clinic expense,996.39,Healthcare
health expense,749.36,Healthcare
music expense,661.83,Entertainment
dinner expense,415.6,Food
amazon expense,58.32,Shopping
checkup expense,280.78,Healthcare
wifi expense,288.39,Utilities
postpaid expense,96.91,Utilities
tshirt expense,599.91,Shopping
coffee expense,268.68,Food
internet expense,354.72,Utilities
bus expense,485.88,Transport
diagnostic expense,516.33,Healthcare
music expense,403.14,Entertainment
cab expense,145.73,Transport
metro expense,908.8,Transport
mobile recharge expense,385.57,Utilities
internet expense,131.78,Utilities
clothes expense,535.82,Shopping
gas expense,705.85,Transport
petrol expense,841.63,Transport
clothes expense,500.54,Shopping
clinic expense,861.45,Healthcare
mcdonalds expense,937.51,Food
snack expense,578.83,Food
checkup expense,150.7,Healthcare
wifi expense,442.21,Utilities
train expense,570.71,Transport
syrup expense,805.78,Healthcare
restaurant expense,575.22,Food
concert expense,318.2,Entertainment
cab expense,310.67,Transport
gas expense,514.5,Transport
health expense,221.33,Healthcare
uber expense,119.99,Transport
checkup expense,448.21,Healthcare
zomato gold expense,804.83,Entertainment
electricity expense,722.73,Utilities
clothes expense,324.89,Shopping
pizza expense,812.44,Food
coffee expense,537.65,Food
syrup expense,228.82,Healthcare
jewelry expense,499,Shopping
groceries expense,438.39,Food
flipkart expense,361.39,Shopping
tshirt expense,844.83,Shopping
prepaid expense,128.59,Utilities
shopping expense,654.55,Shopping
shoes expense,939.63,Shopping
water expense,313.65,Utilities
jewelry expense,516.01,Shopping
concert expense,911.58,Entertainment
water expense,305.98,Utilities
lunch expense,319,Food
flipkart expense,795.48,Shopping
postpaid expense,65.39,Utilities
petrol expense,266.32,Transport
internet expense,570.09,Utilities
tshirt expense,948.05,Shopping
water expense,847.71,Utilities
movie expense,909.55,Entertainment
mobile recharge expense,60.75,Utilities
pubg expense,737.24,Entertainment
cinema expense,59.37,Entertainment
mcdonalds expense,888.32,Food
cinema expense,415.59,Entertainment
zomato gold expense,984.18,Entertainment
ola expense,93.44,Transport
train expense,891.92,Transport
amazon expense,56.04,Shopping
coffee expense,302.1,Food
coffee expense,324.98,Food
mall expense,207.68,Shopping
tshirt expense,501.54,Shopping
game expense,573.11,Entertainment
postpaid expense,329.23,Utilities
theatre expense,687.88,Entertainment
hospital expense,778.48,Healthcare
mall expense,705.18,Shopping
syrup expense,465.95,Healthcare
bus expense,804.21,Transport
shoes expense,842.91,Shopping
electricity expense,784.73,Utilities
restaurant expense,575.6,Food
lunch expense,287.72,Food
kfc expense,202.39,Food
appointment expense,471.67,Healthcare
broadband expense,720.69,Utilities
groceries expense,984.2,Food
store expense,985.8,Shopping
metro expense,831.96,Transport
pharmacy expense,545.11,Healthcare
cab expense,162.76,Transport
restaurant expense,698.08,Food
appointment expense,175.13,Healthcare
gas bill expense,968.57,Utilities
gas expense,598.25,Transport
checkup expense,401.46,Healthcare
subway expense,149.5,Food
electricity expense,347.12,Utilities
pharmacy expense,147.74,Healthcare
netflix expense,725.35,Entertainment
gas expense,284.33,Transport
theatre expense,315.45,Entertainment
flipkart expense,513.82,Shopping
snack expense,560.29,Food
zomato gold expense,816.14,Entertainment
fuel expense,221.85,Transport
shoes expense,376.28,Shopping
shoes expense,585.33,Shopping
shopping expense,578.15,Shopping
groceries expense,279.73,Food
prepaid expense,518.24,Utilities
mobile recharge expense,735.08,Utilities
gas expense,534.34,Transport
bus expense,808.28,Transport
store expense,397.88,Shopping
tshirt expense,193.99,Shopping
shopping expense,707.41,Shopping
syrup expense,213.84,Healthcare
bus expense,510.91,Transport
kfc expense,368.16,Food
kfc expense,619.02,Food
metro expense,290.18,Transport
petrol expense,273.58,Transport
appointment expense,888.49,Healthcare
kfc expense,809.29,Food
mobile recharge expense,785.74,Utilities
gas expense,942.69,Transport
checkup expense,143.57,Healthcare
music expense,781.81,Entertainment
internet expense,826.56,Utilities
music expense,787.11,Entertainment
spotify expense,461.06,Entertainment
appointment expense,900.68,Healthcare
movie expense,804.58,Entertainment
mobile recharge expense,869.63,Utilities
toothpaste expense,120,Essentials
shampoo expense,300,Essentials
soap expense,70,Essentials
